,repo_name,topics
202,Blog-Core/blog-core,"['blog-engine', 'swi-prolog', 'prolog', 'cms', 'blog-core']"
203,linkml/linkml-datalog,"['linkml', 'logic-programming', 'validation', 'souffle-datalog-language', 'datalog', 'reasoning', 'rdf', 'semantic-web', 'rules', 'rule-language', 'semantics', 'constraints']"
204,kyouko-taiga/LogicKit,"['logic-programming', 'domain-specific-language']"
205,cmungall/sparqlprog,"['semantic-web', 'sparql', 'datalog', 'rdf', 'swi-prolog', 'prolog', 'bioinformatics', 'ontology']"
206,trealla-prolog/go,"['go', 'prolog', 'trealla-prolog', 'logic-programming', 'wasm']"
207,google/neural-logic-machines,"['neuro-symbolic-learning', 'logic-programming', 'reinforcement-learning']"
208,switz/driver,"['logic', 'state-machine', 'ui', 'javascript', 'state', 'typescript']"
209,fenwii/LibraryBookSearchEnginePro,"['academic', 'library', 'bookengine', 'science', 'search-engine', 'research', 'university', 'learning', 'students', 'books', 'book', 'papers', 'logic', 'recommendation-system']"
210,engboris/stellogen,"['logic', 'logic-programming', 'transcendental-syntax', 'formal-methods', 'proof-assistant', 'verification', 'type-theory']"
211,cicada-lang/chimera,"['json', 'logic', 'logic-programming', 'programming-language']"
212,uellenberg/Logimat,"['math', 'logic', 'language']"
213,uwdata/draco,"['visualization-constraints', 'answer-set-programming', 'visualization-recommendation', 'vega']"
214,ichiban/prolog,"['interpreter', 'prolog', 'golang', 'go', 'logic-programming']"
215,itsanshulverma/du-cs-undergrad-course,"['undergraduate-course', 'computer-science', 'cpp', 'java', 'du', 'html-css-javascript', 'lex', 'yacc', 'python', 'android', 'assembly', 'r', 'prolog']"
216,robsimmons/dusa,"['answer-set-programming', 'datalog', 'forward-chaining', 'logic-programming']"
217,amr205/Introduccion-a-la-IA---Libro,"['programacion-logica', 'algoritmos-geneticos', 'machine-learning', 'supervised-learning', 'unsupervised-learning', 'aprendizaje-automatico', 'aprendizaje-supervisado', 'aprendizaje-no-supervisado', 'genetic-algorithm', 'genetic-programming', 'logic-programming', 'book', 'artifficial-intelligence', 'artificial-intelligence', 'inteligencia-artificial']"
218,Rafisto/uni,"['algebra', 'calculus', 'computer', 'lecture', 'logic', 'notes', 'science', 'algorythmic', 'university', 'informatyka-algorytmiczna', 'algorytmiczna', 'ina', 'informatyka', 'pwr']"
219,guregu/php,"['cgi', 'prolog', 'www']"
220,i-am-tom/holmes,"['propagation', 'constraint-solver', 'backtracking', 'logic-programming']"
221,mingodad/picat,"['symbolic-computation', 'dynamic-programming', 'prolog', 'pattern-matching', 'solvers', 'constraint-programming', 'declarative-programming', 'functional-programming', 'cross-platform']"
222,alpha-asp/Alpha,"['answer-set-programming', 'solver', 'lazy-grounding', 'logic-programming']"
223,monasticacademy/logical-induction,"['probability', 'inference', 'logic']"
224,MarcelRobeer/VisualNarrator,"['requirements-engineering', 'user-story', 'conceptual-models', 'prolog', 'requirements-quality-analysis']"
225,lambduli/minilog,"['language', 'logic-programming', 'programming-language', 'prolog', 'prolog-implementation', 'repl', 'unification']"
226,carlosantq/LPL,"['lpl', 'proof', 'logic', 'fitch-proofs', 'fitch']"
227,uuverifiers/eldarica,"['horn-clauses', 'smt-solver', 'model-checker', 'verification', 'smt2', 'prolog']"
228,wouterbeek/prolog_graphviz,"['prolog', 'swi-prolog', 'graph', 'graphviz', 'graphviz-dot', 'graphviz-dot-language', 'visualization']"
229,softlang/yas,"['slr', 'yas', 'language', 'prolog']"
230,PlugFox/bloc,"['bloc', 'dart', 'flutter', 'state-management', 'state-machine', 'pub', 'sub', 'publisher-subscriber-pattern', 'pub-sub', 'publisher', 'subscriber', 'business', 'logic', 'component', 'library', 'package', 'dartlang', 'dart-library', 'flutter-package']"
231,logicmoo/programk,"['aiml', 'aiml-interpreter', 'aiml2', 'chatbot', 'prolog']"
232,hakank/hakank,"['constraint-programming', 'constraint-satisfaction', 'minizinc', 'picat', 'z3py', 'gecode', 'essence', 'jacop', 'ampl', 'comet', 'jgap', 'frink', 'prolog', 'answer-set-programming', 'choco', 'eclipse-clp', 'numberjack', 'poplog', 'sicstus-prolog', 'setl']"
233,DeMaCS-UNICAL/Angry-HEX,"['artificial-intelligence', 'logic-programming', 'planning', 'angry-birds']"
234,sys27/xFunc,"['lexer', 'parse', 'c-sharp', 'math', 'mathematics', 'logic', 'analyzer', 'derivative', 'differentiation', 'complex-numbers', 'parser', 'simplification', 'expression', 'dotnet', 'units', 'units-of-measure', 'math-parser', 'evaluate-expressions']"
235,OSCC-Project/iMap,"['eda', 'logic']"
236,SuperDisk/tar.pl,"['logic-programming', 'prolog', 'tar', 'unix']"
237,tgecho/canrun_rs,"['rust', 'logic', 'kanren', 'dsl']"
238,philzook58/snakelog,"['datalog', 'logic']"
239,gooofy/zamia-ai,"['python', 'tensorflow', 'artificial-intelligence', 'natural-language-processing', 'prolog', 'knowledgebase', 'semantic-web']"
240,GustikS/NeuraLogic,"['relational-learning', 'deep-learning', 'logic-programming', 'machine-learning', 'differentiable-programming']"
241,jimmyg1997/NTUA-ai-artificial-intelligence,"['artificial-intelligence', 'ntua-ece', 'a-star', 'prolog', 'java', 'google-maps', 'taxi-app']"
242,SAKET-SK/Programming-Aptitude-Interview-Prep,"['aptitude', 'programming-languages', 'logic-programming', 'aptitude-solver', 'aptitudetraining', 'aptitude-tests', 'exercises', 'technical-test', 'interview-technical']"
243,aarroyoc/scryer-playground,"['prolog', 'webassembly']"
244,SimonBuxx/LogiJS,"['logic-gates', 'logic-circuit', 'logic', 'simulator', 'boolean', 'electronics', 'cpu', 'flip-flop', 'gates', 'logic-circuits']"
245,complexdb/zincbase,"['knowledge-base', 'knowledge-graph', 'graph-embedding', 'prolog']"
246,FLHonker/Awesome-Neural-Logic,"['neural-network', 'logic-programming', 'inductive-logic-programming', 'logic', 'markov', 'first-order-logic', 'causal', 'causal-inference', 'causality']"
247,alexovidiupopa/UBB,"['cpp', 'oop', 'java', 'python', 'clisp', 'prolog', 'assembly-8086', 'graphs-theory', 'data-structures-and-algorithms', 't-sql', 'shell', 'cisco-packet-tracer', 'c']"
248,gingerbeardman/mandala,"['logic', 'mandala', 'mandala-art', 'pixels']"
249,alejandroaperez1994g/js-shopping-wizard,"['css', 'forms-validation', 'html', 'javascript', 'logic-programming']"
250,Jfaler/Philosophy,"['books', 'philosophy', 'logic', 'metaphysics', 'aesthetics', 'epistemology', 'politics', 'ethics', 'symbols', 'wisdom', 'mathematics', 'list', 'philosopher', 'nothing', 'thinking', 'truth', 'good', 'evil', 'morals', 'dialectic']"
251,travisjungroth/trinary,"['logic', 'python', 'trinary']"
252,AppliedLogicSystems/ALSProlog,"['prolog', 'compiler', 'language', 'programming-language', 'logic-programming', 'iso-prolog-standard', 'prolog-implementation', 'prolog-programming-language']"
253,Merlin04/truthtabl.es,"['logic', 'truth-table', 'truth-table-generator', 'truth-tables', 'nextjs', 'ohm', 'proof-assistant', 'proof', 'symbolic-logic']"
254,abdulzakrt/WumpusWorld-CSharp,"['wumpusworld', 'csharp', 'prolog', 'gui', 'swi-prolog', 'wpf-application', 'wpf', 'game', 'agent', 'knowledgebase', 'wumpus', 'world', 'knowledgebase-agents', 'swipl']"
255,awto/mfjs-logic,"['logic', 'monad', 'logic-programming', 'javascript', 'mfjs', 'constraint-programming']"
256,rla/prolog-markdown,"['swi-prolog', 'markdown', 'markdown-parser']"
257,triska/lisprolog,"['prolog', 'lisp', 'interpreter']"
258,HarvardPL/AbcDatalog,"['datalog', 'logic-programming', 'declarative-programming', 'knowledge-base', 'rule-engine']"
259,fnogatz/plammar,"['swi-prolog', 'prolog', 'definite-clause-grammar', 'parser', 'serializer']"
260,wmannis/cl-gambol,"['common-lisp', 'prolog']"
261,UberPyro/prowl,"['based-stack-based-language', 'forth-like', 'functional-programming', 'logic-programming', 'ocaml', 'proglangs-discord', 'programming-language', 'regex', 'stack-based-language']"
262,rm-hull/wam,"['clojure', 'unification', 'wam', 'parser-combinators', 'tutorial', 'prolog-implementation']"
263,Kushal997-das/Pattern_Printing,"['python', 'patterns', 'logic-programming', 'python3', 'cpp']"
264,haldai/LogicalVision2,"['swi-prolog', 'opencv', 'computer-vision']"
265,briza-insurance/illogical,"['logic', 'comparison', 'operand', 'parser', 'conditional']"
266,bitkeks/theolog-ss2017,"['university', 'german', 'logic', 'theoretical-computer-science', 'lecture-notes']"
267,LAMDASZ-ML/Awesome-Neuro-Symbolic-Learning-with-LLM,"['artificial-intelligence', 'large-language-models', 'machine-learning', 'neuro-symbolic', 'awesome', 'embodied-ai', 'first-order-logic', 'gpt-4o', 'knowledge-graph', 'llm-agent', 'logic-programming', 'neuro-network', 'papers', 'planning', 'reasoning', 'visual-reasoning', 'reinforcement-learning']"
268,metaclass-nl/filter-bundle,"['filter', 'logic', 'api-platform', 'wherefilter', 'doctrine', 'doctrine-orm']"
269,lab-v2/pyreason-gym,"['gym', 'gym-environment', 'logic', 'logic-programming', 'machine-learning', 'reinforcement-learning', 'simulation']"
270,sarthak268/Embedded_Logic_and_Design,"['verilog', 'verilog-hdl', 'verilog-programs', 'verilog-project', 'embedded-systems', 'embedded-logic', 'logic-circuit', 'logic-programming', 'embedded-c', 'c', 'vhdl', 'vhdl-code', 'zedboard', 'xilinx', 'xilinx-vivado', 'xilinx-fpga', 'xilinx-sdk', 'arm', 'vivado', 'pmod']"
271,MainakRepositor/Super-Ciphers,"['cipher-algorithms', 'cpp', 'java', 'python3', 'cryptography', 'blockchain', 'logic', 'arithmetic']"
272,FormalizedFormalLogic/Arithmetization,"['lean4', 'logic']"
273,jdryg/dls-schematics,"['schematic', 'digital', 'logic', 'dls', 'cpu', 'simulation']"
274,Innocentsax/DSA_IN_JAVA,"['algorithms-and-data-structures', 'arrays', 'bitwise-operators', 'dsa-algorithm', 'dynamic-programming', 'java', 'logic-programming', 'regression', 'searching-algorithms', 'system-design']"
275,Shen-Language/shen-sources,"['programming-language', 'shen', 'lisp', 'prolog', 'functional-programming', 'logic-programming', 'static-typing']"
276,0xGeorgii/SharpLogic,"['fsharp', 'mathematics', 'logic', 'dotnet', 'formula', 'propositional-logic', 'automate-inference', 'automate-reasoning', 'automate-teorem-proofs', 'intuitionistic-logic']"
277,magmide/magmide,"['formal-verification', 'formal-methods', 'type-safety', 'systems-programming', 'dependent-types', 'verification', 'logic', 'coq']"
278,nicoabie/quickcheck,"['swi-prolog', 'prolog', 'quickcheck', 'property-based-testing']"
279,terohuttunen/proto-vulcan,"['rust', 'logic-programming']"
280,spamegg1/Math-for-CS-solutions,"['calculus', 'counting', 'functions', 'graph', 'graph-theory', 'induction', 'math', 'probability', 'proofs', 'set-theory', 'solution', 'sets', 'computer-science', 'logic', 'number-theory', 'random-walks', 'rsa-cryptography']"
281,fnogatz/xsd2json,"['swi-prolog', 'prolog', 'xml-schema', 'json-schema']"
282,arasgungore/NandGame,"['arithmetic-logic-unit', 'computer', 'control-unit', 'digital-design', 'logic-gates', 'logic-programming', 'logic-unit', 'memory', 'nandgame', 'processor', 'switching', 'hardware', 'binary-logic', 'fundamentals-of-computing', 'solutions', 'arithmetic-circuits', 'nand-game', 'random-access-memory', 'logic-circuit', 'thenandgame-solutions']"
283,fogfish/datalog,"['datalog', 'logic-programming', 'knowledge', 'erlang', 'semantic-web']"
284,triska/ediprolog,"['emacs', 'emacs-lisp', 'prolog-process', 'prolog']"
285,matchilling/brexit,"['brexit', 'adventure-game', 'prolog']"
286,SHI-Yu-Zhe/awesome-agi-cocosci,"['awesome', 'artificial-general-intelligence', 'computational-cognitive-science', 'abduction', 'bayesian', 'pragmatics', 'theory-of-mind', 'language-of-thought', 'logic-programming', 'developmental-psychology', 'planning', 'intuitive-physics', 'explainable-ai', 'hybrid-system', 'analogy', 'commonsense', 'scientific-discovery', 'general-pattern-theory', 'awesome-list', 'mind-simulation']"
287,luc-tielen/eclair-lang,"['compiler', 'datalog', 'haskell', 'logic-programming', 'llvm']"
288,flix/flix,"['flix', 'language', 'hacktoberfest', 'functional', 'imperative', 'logic', 'jvm', 'programming-language']"
289,ozekik/mathesis,"['logic', 'philosophy', 'proof', 'semantics', 'prover', 'mathematical-logic', 'philosophical-logic', 'formal-logic', 'first-order-logic', 'propositional-logic']"
290,leoprover/Leo-III,"['higher-order-logic', 'theorem-proving', 'logic', 'reasoning', 'atp', 'deduction-system']"
291,pythological/kanren,"['relational-programming', 'minikanren', 'logic-programming', 'symbolic-computation', 'constraint-logic-programming', 'clp']"
292,evertheylen/logicpy,"['prolog-implementation', 'python3', 'logic-programming']"
293,logictensornetworks/logictensornetworks,"['machinelearning', 'tensorflow', 'logic-programming', 'fuzzy-logic']"
294,malikpiara/logicola,"['education', 'elearning', 'formal-logic', 'learning', 'logic', 'quizapp', 'logicola']"
295,LogicalAtomist/principia,"['logic', 'history-of-philosophy', 'coq', 'coq-ecosystem', 'formal-logic', 'formal-mathematics', 'formal-proofs', 'latex', 'latex-packages']"
296,kuba--/ut,"['unification', 'unification-algorithm', 'prolog', 'logic-programming']"
297,LambdaAlpha/airlang_rs,"['programming-language', 'programming-languages', 'artificial-intelligence', 'formal-specification', 'logic-programming', 'logical-programming', 'proof-of-concept', 'specification-language', 'solver']"
298,tau-prolog/draw-derivation-trees,"['prolog', 'prolog-programming-language', 'prolog-application', 'derivation-tree', 'canvas', 'tau-prolog']"
299,ekzhang/ukanren-rs,"['microkanren', 'minikanren', 'rust', 'logic-programming', 'functional-programming', 'language', 'prolog']"
300,HouariZegai/PrologExercise,"['prolog', 'prolog-programming-language', 'exercise-solutions', 'exercise']"
301,InKnowWorks/IKW-GraphEngine,"['ontology', 'semantic-reasoning', 'knowledge-base', 'knowledge-graph', 'logic', 'logic-solver']"
302,iOperator/CRSF-HLA,"['analyzer', 'crossfire', 'expresslrs', 'logic', 'rc', 'tbs', 'tracer']"
303,philzook58/egglog0,"['rust', 'prolog', 'theorem-prover']"
304,iliasam/uProbe,"['stm32', 'lcd', 'logic', 'probe', 'oscilloscope']"
305,Ducasse/SOUL,"['pharo', 'logic-programming', 'unification', 'prolog']"
306,alexanyernas/Ejercicios-Practicos,"['logic-programming', 'logic', 'practice', 'exercises']"
307,Preetiraj3697/30dayofJavascript,"['css3', 'html', 'javascript', 'api', 'logic', 'calculator', 'calendar', 'dark-theme', 'favicon-generator', 'filtering', 'mathgame', 'recipe-app', 'tic-tac-toe', 'clock', 'country-guide-app']"
308,i5ting/imove,"['flowchart', 'xstate', 'x6', 'javascript', 'logic', 'lowcode']"
309,thuwzy/Neural-Symbolic-and-Probabilistic-Logic-Papers,"['deep-logic', 'neurosymbolic', 'neural-symbolic', 'neural-logic', 'probabilistic-logic', 'probability', 'neural-module-networks', 'logic-programming']"
310,AIT-Protocol/einstein-ait-prod,"['aai', 'bittensor', 'blockchain', 'decentralization', 'llm', 'logic', 'machine-learning', 'mathematics']"
311,noprompt/meander,"['term-rewriting', 'logic-programming', 'unification', 'pattern-matching', 'substitution', 'program-transformation']"
312,konclude/Konclude,"['reasoning', 'owl', 'logic', 'owl-reasoner', 'semantic-web', 'ontology', 'sparql']"
313,RadostinaIvanova/Expert-system-in-Prolog,"['prolog', 'prolog-programming-language', 'expert-system', 'goal-driven', 'backward-chaining', 'rule-based', 'expert-system-diagnosis', 'backward-chaining-prolog', 'expert-systems', 'artificial-intelligence']"
314,triska/clpz,"['clp', 'constraints', 'integer-arithmetic', 'prolog', 'sicstus-prolog', 'constraint-programming']"
315,aditeyabaral/DDCO-Lab-UE18CS207,"['verilog', 'icarus-verilog', 'digital-design', 'computer-organization', 'verilog-code', 'logic-programming']"
316,ztangent/Julog.jl,"['julia', 'prolog', 'first-order-logic', 'logic', 'logic-programming', 'fol']"
317,jaalonso/Lecturas_GLC,"['haskell', 'functional-programming', 'itp', 'isabelle-hol', 'coq', 'leanprover', 'prolog', 'logic', 'logic-programming']"
318,triska/simsttab,"['timetable', 'timetabling-engine', 'school', 'prolog', 'clp', 'constraint-programming']"
319,xmonader/prolog-rands,"['prolog', 'puzzles', 'riddles', 'constraint-satisfaction-problem']"
320,neuroimaginador/fcaR,"['implications', 'formal-concept-analysis', 'concept-extraction', 'logic', 'recommendation-engine', 'formal-contexts', 'concept-lattice', 'fuzzy-sets', 'arules']"
321,santifa/pasp-mode,"['emacs', 'answer-set-programming', 'major-mode']"
322,AAAI-DISIM-UnivAQ/DALI,"['prolog', 'multi-agent-systems', 'event-driven', 'logic-programming']"
323,EvgSkv/logica,"['datalog', 'sql', 'bigquery', 'language', 'prolog-implementation', 'prolog', 'logica', 'postgresql', 'sqlite', 'trino', 'presto', 'logic-programming']"
324,HackerFoo/poprc,"['language', 'popr', 'popr-compiler', 'compiler', 'concatenative', 'functional', 'logic-programming', 'non-deterministic', 'partial-evaluators', 'dependent-types', 'supercompiler', 'linear-logic', 'verilog', 'high-level-synthesis']"
325,danyvarghese/PyGol,"['inductive-logic-programming', 'machine-learning', 'inverse-entailment', 'abductive-commonsense-reasoning', 'abductive-learning', 'artificial-intelligence', 'automated-data-science', 'automated-machine-learning', 'automl', 'explainable-ai', 'explainable-ml', 'inference-engine', 'logic-programming', 'pygol']"
326,latte-central/LaTTe,"['clojure', 'proof-assistant', 'logic', 'mathematics']"
327,AILab-FOI/pyxf,"['python', 'prolog', 'xsb', 'swipl', 'eclipse', 'flora-2', 'ergo-lite', 'interface']"
328,wotbrew/relic,"['clojure', 'relational-algebra', 'relations', 'logic', 'dataflow', 'sql', 'incremental-view-maintenance']"
329,davidallysson/logica-de-programacao,"['programming', 'logic-programming', 'programming-language', 'exercises', 'uri', 'competitive-programming', 'uva', 'spoj']"
330,logicmoo/prologmud,"['logicmoo', 'mud-servers', 'text-adventure-game', 'prolog', 'artificial-general-intelligence', 'agi']"
331,ekaf/wordnet-prolog,"['princeton-wordnet', 'prolog', 'wordnet', 'relational-databases']"
332,IBM/LNN,"['neuro-symbolic-ai', 'machine-learning', 'reasoning', 'logic']"
333,almossawi/badarguments,"['illustrated-book', 'critical-thinking', 'logical-fallacies', 'logic', 'arguments', 'debate', 'free-books']"
334,namin/metamk,"['scheme', 'minikanren', 'metaprogramming', 'meta', 'logic-programming', 'reflection']"
335,arkark/d-prolog,"['prolog', 'dlang', 'repl', 'parser']"
336,usmonovshohruxmirzo/leetcode-usmonovshohruxmirzo,"['javascript', 'leetcode', 'logic', 'problem-solving', 'problems', 'algorithms', 'data-structures', 'questions', 'solutions']"
337,CursedPrograms/ConfederateAI,"['ai', 'combat', 'navmesh', 'unity', 'unity3d', 'logic', 'logic-based-artificial-intelligence', 'artificial-intelligence']"
338,viebel/klipse,"['clojure', 'clojurescript', 'interactive-snippets', 'javascript', 'code-evaluation', 'ruby', 'scheme', 'prolog', 'react', 'reactjs', 'klipse-plugin', 'codemirror-editor', 'evaluation', 'python', 'brainfuck', 'lua', 'ocaml', 'reasonml', 'common-lisp']"
339,eshelyaron/debug_adapter,"['debugger', 'emacs', 'prolog', 'logic-programming', 'swipl', 'swi-prolog']"
340,RustemB/profetch,"['prolog', 'fetch', 'neofetch']"
341,Ana06/AI,"['prolog', 'jess', 'artificial-intelligence', 'protege', 'natural-language-processing', 'recommender-system', 'ontology', 'ucm']"
342,logicmoo/wam_common_lisp,"['common-lisp', 'prolog-programming-language', 'object-oriented-programming', 'oop', 'swi-prolog-library', 'swi-prolog', 'yap-prolog', 'greenspun', 'lisp', 'prolog', 'lisp-compiler', 'lisp-interpreter', 'prolog-programmers', 'swi']"
343,Logoi-Linguistics/Logoi-Linguistics,"['agi', 'lisp', 'prolog']"
344,Kushal997-das/C-PROGRAM,"['cprogramming-language', 'programming', 'logic']"
345,Bodigrim/logict,"['logic-programming', 'monad-transformers', 'backtracking', 'logict']"
346,EricZinda/InductorHtn,"['ai', 'htn', 'cpp', 'python', 'python3', 'python-3', 'python-library', 'hierarchical-task-network', 'c-plus-plus', 'cplusplus', 'cpp-library', 'prolog-implementation']"
347,hneemann/Digital,"['circuit', 'digital-circuits', 'logisim', 'simulator', 'logic-gates', 'education', 'logic']"
348,wyvernSemi/vproc,"['processor', 'verilog', 'verification', 'pli', 'simulation-element', 'c', 'vhdl', 'asic-verification', 'codesign', 'cosimulation', 'cpp', 'dpi', 'dpi-c', 'fpga', 'logic', 'logic-simulation', 'python', 'systemverilog', 'vhpidirect', 'vpi']"
349,Mazin-O3/Veecom,"['risc-v', 'computer', 'cpu', 'logic', 'logisim', 'computer-architecture', 'computer-engineering', 'logisim-computer']"
350,altaywtf/react-json-logic,"['react', 'component', 'ui', 'json', 'builder', 'logic']"
351,TSG405/C-for-Everyone-Programming-Fundamentals,"['c-programming-language', 'logic-programming', 'data-structures', 'fundamentals-of-programming', 'solutions', 'university-of-california-santa-cruz', 'basic-programming', 'coursera']"
352,01mf02/kontroli-rs,"['logic', 'rust', 'dependent-types', 'typechecker', 'dedukti']"
353,hintikkasworld/hintikkasworld,"['logic', 'logic-game', 'modal-logic', 'epistemic-logic', 'dynamic-logics', 'artificial-intelligence', 'ijcai-18', 'agents']"
354,triska/clpb,"['clp', 'prolog', 'constraints', 'bdd', 'constraint-programming', 'independent-sets', 'matchsticks-puzzle', 'satisfiability', 'sat']"
355,drendog/Logic-Circuit-Simulator,"['simulator', 'logic-gate', 'logic-circuit', 'logic-circuit-simulator', 'logic-gate-simulator', 'p5js', 'js', 'logic-gates', 'logic']"
356,nzbr/vlogsolv,"['v', 'vlang', 'logic']"
357,Attempto/APE,"['swi-prolog', 'ace', 'attempto', 'cnl', 'nlp']"
358,nunchaku-inria/nunchaku,"['model-finding', 'sat', 'cvc4', 'higher-order', 'logic', 'proof-assistant', 'isabelle', 'hol']"
359,AmziLS/AmziProlog,"['prolog', 'ide', 'eclipse-plugin', 'virtual-machine', 'logic-programming']"
360,friguzzi/bddem,"['binary-decision-diagrams', 'prolog', 'c', 'cudd', 'probabilistic-logic-programming', 'inductive-logic-programming']"
361,ekzhang/crepe,"['datalog', 'rust', 'souffle', 'static-analysis', 'logic-programming', 'translator']"
362,aljen/spaghetti,"['logic', 'editor', 'simulation', 'cpp17', 'cpp14', 'cpp', 'cpp-library', 'logic-gates', 'logic-circuit-simulator', 'qt5', 'modern-cpp']"
363,Spydr06/logicrs,"['boolean-algebra', 'boolean-logic', 'circuit', 'gates', 'gtk', 'gtk4', 'hacktoberfest', 'hacktoberfest2023', 'libadwaita', 'libadwaita-rs', 'logic', 'logic-gates', 'rust', 'simulation', 'simulator', 'logicrs']"
364,Es1chUbJyan9/32bit_Quine-McCluskey_and_Petrick_Method_in_C,"['quine-mccluskey', 'quine-mccluskey-algorithm', 'petrick-method', 'c', 'digital-logic', 'logic-programming', 'simplification']"
365,SheafificationOfG/BoolosBrewery,"['logic', 'puzzle-game']"
366,c-cube/smbc,"['sat', 'solver', 'logic', 'computational', 'ocaml', 'model', 'formal-methods']"
367,roboticslab-cseiitg/ProjectTartarus,"['prolog', 'swi-prolog', 'mobile-agents', 'autonomous-agents', 'multi-agent-systems', 'raspberry-pi', 'emulation', 'agent', 'internet-of-things', 'cyber-physical-systems', 'tartarus', 'agent-oriented-programming']"
368,rubycocos/cocos,"['ruby', 'gems', 'cocos', 'commons', 'prelude', 'prolog']"
369,billhails/PyScheme,"['language', 'python', 'functional-programming', 'logic-programming', 'pycharm']"
370,hargettp/prolog_lsp,"['language-server-protocol', 'prolog']"
371,NucleoidAI/Nucleoid,"['node', 'javascript', 'neuro-symbolic-ai', 'neuro-symbolic', 'reasoning', 'semantic-reasoning', 'symbolic', 'reasoning-engine', 'semantic-reasoner', 'logic', 'logic-programming', 'expert-system', 'knowledge-base', 'knowledge', 'rag', 'knowledge-graph', 'graph-rag', 'neuro-symbolic-learning']"
372,mdiep/Kanren.swift,"['kanren', 'swift', 'logic-programming']"
373,roberthoenig/FirstOrderLogic.jl,"['julia', 'first-order-logic', 'logic', 'satisfiability-solver']"
374,cardillan/mindcode,"['compiler', 'mindustry', 'mlog', 'logic', 'schematics']"
375,johnphantom/Dynamic-Stateless-Computer,"['logic', 'computing', 'quantum-computing', 'quantum-mechanics', 'turing-machine', 'dynamic', 'connections', 'geometry', 'counter-strike', 'counter-strike-global-offensive', 'counter-strike-source', 'quake', 'quake-engine', 'half-life', 'functional-programming', 'dynamic-logics', 'connectionism', 'stateless', 'entanglement']"
376,c-cube/datalog,"['datalog', 'prolog', 'ocaml', 'logic-programming', 'memoization']"
377,simply-logical/simply-logical,"['jupyter-book', 'prolog', 'swish', 'simply-logical']"
378,linkml/owlstar,"['rdf', 'semweb', 'owl', 'rdfstar', 'fol', 'knowledge-graph', 'probabilistic-models', 'logic', 'semantics']"
379,hemansnation/Python-For-Data-Professionals,"['data-analytics', 'data-professionals', 'data-science', 'exploratory-data-analysis', 'logic-programming', 'machine-learning', 'pandas', 'python']"
380,newca12/awesome-rust-formalized-reasoning,"['formal-verification', 'prover', 'automated-theorem-provers', 'theorem-prover', 'reasoning', 'logic', 'constructive-mathematics', 'dependent-types', 'theorem-proving', 'proof-assistants', 'rust']"
381,logigator/logigator,"['angular', 'logic', 'logic-circuit', 'logic-gates', 'simulation']"
382,SWI-Prolog/swipl-wasm,"['prolog', 'webassembly', 'swi-prolog']"
383,daviromero/nadia,"['natural-deduction', 'educational-software', 'logic', 'proof-assistant']"
384,stdgregwar/elve,"['visualisation', 'circuit', 'logic', 'logic-design', 'logic-circuit', 'graph', 'nodes', 'plugin', 'extensible', 'extendable', 'qmake']"
385,ikokkari/AI,"['ilkka-kokkarinen', 'prolog', 'artificial-intelligence', 'aima-book', 'python']"
386,RyanMarcus/vulcan,"['javascript', 'proof', 'proof-assistant', 'logic']"
387,dafengzhen/bootstrap-react-logic,"['bootstrap', 'logic', 'react', 'typescript']"
388,ciao-lang/ciao,"['prolog', 'compiler', 'programming-language', 'logic', 'interpreter', 'bytecode', 'virtual-machine', 'clp', 'constraints', 'prolog-implementation', 'prolog-interpreter', 'prolog-compiler', 'iso-prolog-standard', 'ciao-prolog', 'prolog-programming-language', 'logic-programming']"
389,ptarau/pypro,"['nested-tuples', 'tuple-mining', 'unification', 'python3', 'prolog', 'interpreter']"
390,VanHakobyan/SWI-Prolog,"['prolog', 'prolog-programming-language', 'swi-prolog', 'logical-programming']"
391,kamel-usp/dpasp,"['answer-set-programming', 'logic-programming', 'probabilistic-logic-programming', 'probabilistic-programming', 'credal-sets', 'neurosymbolic-ai']"
392,LogtalkDotOrg/logtalk3,"['logtalk', 'logic-programming', 'prolog', 'oop', 'declarative-language', 'declarative-programming']"
393,jdormit/sicp-logic,"['clojure', 'logic-programming', 'datalog', 'sicp']"
394,pythological/unification,"['unification', 'multiple-dispatch', 'python', 'logic-programming']"
395,yuce/pyswip,"['python', 'prolog', 'swi-prolog', 'artificial-intelligence', 'expert-systems', 'natural-language-processing', 'robotics', 'logic-programming']"
396,rzese/trill,"['probabilistic-knowledge-bases', 'tableau-reasoner', 'prolog', 'description-logics', 'axiom-pinpointing', 'probabilistic-description-logics', 'trill']"
397,Kaljurand/owl-verbalizer,"['owl', 'swi-prolog', 'ace', 'web-ontology-language']"
398,Herb-AI/HerbSWIPL.jl,"['logic-programming', 'prolog', 'artificial-intelligence', 'automated-reasoning', 'julia', 'logic']"
399,AthenaFoundation/athena,"['formal-verification', 'logic', 'proof-assistant', 'theorem-proving', 'natural-deduction', 'functional-programming', 'proof-language']"
400,ysyesilyurt/Metu-CENG,"['coursework', 'metu-ceng', 'metu', 'formal-languages', 'embedded-systems', 'networking', 'computer-organization', 'operating-systems', 'logic-design', 'c', 'cpp', 'python', 'java', 'haskell', 'prolog', 'signal-processing', 'computer-graphics', 'opengl', 'computer-security', 'programming-languages']"
401,xieyuheng/logic-db,"['prolog', 'typescript', 'logic-programming']"
