name,starsCount,forksCount,watchersCount,createdAt,description,githubPage,ownedByOrg,owner,language,
jshttp/mime-types,1332,129,23,2014-05-02,"The ultimate javascript content-type utility.",https://github.com/jshttp/mime-types,True,jshttp,JavaScript,
jshttp/mime-types,1332,129,23,2014-05-02,"The ultimate javascript content-type utility.",https://github.com/jshttp/mime-types,True,jshttp,JavaScript,
data-uri/mimer,16,4,2,2013-04-25,"A simple Mime type getter",https://github.com/data-uri/mimer,True,data-uri,JavaScript,
sindresorhus/mimic-function,91,17,8,2016-10-19,"Make a function mimic another one",https://github.com/sindresorhus/mimic-function,False,sindresorhus,JavaScript,
sindresorhus/mimic-function,91,17,8,2016-10-19,"Make a function mimic another one",https://github.com/sindresorhus/mimic-function,False,sindresorhus,JavaScript,
sindresorhus/mimic-response,59,13,6,2017-06-02,"Mimic a Node.js HTTP response stream",https://github.com/sindresorhus/mimic-response,False,sindresorhus,JavaScript,
Raynos/min-document,109,27,10,2014-02-23,"A minimal DOM implementation",https://github.com/Raynos/min-document,False,Raynos,JavaScript,
jamiebuilds/min-indent,19,4,4,2017-10-27,"Get the shortest leading whitespace from lines in a string",https://github.com/jamiebuilds/min-indent,False,jamiebuilds,JavaScript,
nijikokun/minami,575,161,8,2015-02-12,"💅 Clean and minimal JSDoc 3 Template / Theme",https://github.com/nijikokun/minami,False,nijikokun,JavaScript,
webpack-contrib/mini-css-extract-plugin,4657,388,78,2018-02-28,"Lightweight CSS extraction plugin",https://github.com/webpack-contrib/mini-css-extract-plugin,True,webpack-contrib,JavaScript,
tigt/mini-svg-data-uri,311,16,6,2017-12-26,"Small, efficient encoding of SVG data URIs for CSS, HTML, etc.",https://github.com/tigt/mini-svg-data-uri,False,tigt,JavaScript,
Alexhuszagh/minimal-lexical,21,5,6,2020-02-07,"Minimal float parser primitives with a focus on compile times.",https://github.com/Alexhuszagh/minimal-lexical,False,Alexhuszagh,Rust,
calvinmetcalf/minimalistic-assert,18,4,4,2015-01-12,None,https://github.com/calvinmetcalf/minimalistic-assert,False,calvinmetcalf,JavaScript,
indutny/minimalistic-crypto-utils,24,5,3,2017-02-22,"Minimalistic utils for JS-only crypto",https://github.com/indutny/minimalistic-crypto-utils,False,indutny,JavaScript,
isaacs/minimatch,3296,247,57,2011-07-16,"a glob matcher in javascript",https://github.com/isaacs/minimatch,False,isaacs,JavaScript,
isaacs/minimatch,3296,247,57,2011-07-16,"a glob matcher in javascript",https://github.com/isaacs/minimatch,False,isaacs,JavaScript,
minimistjs/minimist,548,30,5,2022-10-10,"parse argument options",https://github.com/minimistjs/minimist,True,minimistjs,JavaScript,
minimistjs/minimist,548,30,5,2022-10-10,"parse argument options",https://github.com/minimistjs/minimist,True,minimistjs,JavaScript,
vadimdemedes/minimist-options,54,17,3,2015-08-26,"Clean and beautiful options for minimist",https://github.com/vadimdemedes/minimist-options,False,vadimdemedes,JavaScript,
isaacs/minipass,247,24,4,2017-03-14,"A stream implementation that does more by doing less",https://github.com/isaacs/minipass,False,isaacs,TypeScript,
isaacs/minipass-collect,2,3,3,2019-09-15,"A Minipass stream that collects all the data into a single chunk",https://github.com/isaacs/minipass-collect,False,isaacs,JavaScript,
npm/minipass-fetch,54,11,9,2019-09-23,"An implementation of window.fetch in Node.js using Minipass streams",https://github.com/npm/minipass-fetch,True,npm,JavaScript,
isaacs/minipass-flush,3,2,3,2019-09-15,"A Minipass stream that calls a flush function before emitting 'end'",https://github.com/isaacs/minipass-flush,False,isaacs,JavaScript,
isaacs/minipass-json-stream,2,1,1,2024-07-28,None,https://github.com/isaacs/minipass-json-stream,False,isaacs,JavaScript,
isaacs/minipass-pipeline,3,4,3,2019-09-15,"create a pipeline of streams using Minipass",https://github.com/isaacs/minipass-pipeline,False,isaacs,JavaScript,
isaacs/minipass-sized,5,1,3,2019-09-21,"A Minipass stream that raises an error if you get a different number of bytes than expected",https://github.com/isaacs/minipass-sized,False,isaacs,JavaScript,
lucaong/minisearch,4843,137,31,2018-09-17,"Tiny and powerful JavaScript full-text search engine for browser and Node",https://github.com/lucaong/minisearch,False,lucaong,TypeScript,
Frommi/miniz_oxide,179,49,10,2017-07-03,"Rust replacement for miniz",https://github.com/Frommi/miniz_oxide,False,Frommi,C,
isaacs/minizlib,73,9,3,2017-03-28,"A smaller, faster, zlib stream built on http://npm.im/minipass and Node.js's zlib binding.",https://github.com/isaacs/minizlib,False,isaacs,JavaScript,
tokio-rs/mio,6353,735,128,2014-08-20,"Metal I/O library for Rust.",https://github.com/tokio-rs/mio,True,tokio-rs,Rust,
max-mapper/mississippi,1085,56,21,2015-07-31,"A collection of useful stream utility modules for writing better code using streams",https://github.com/max-mapper/mississippi,False,max-mapper,JavaScript,
lepture/mistune,2590,250,46,2014-02-18,"A fast yet powerful Python Markdown parser with renderers and plugins.",https://github.com/lepture/mistune,False,lepture,Python,
developit/mitt,10839,440,71,2017-01-15,"🥊 Tiny 200 byte functional event emitter / pubsub.",https://github.com/developit/mitt,False,developit,TypeScript,
jonschlinkert/mixin-deep,80,16,5,2014-09-22,"Deeply mix the properties of objects into the first object, while also mixing-in child objects.",https://github.com/jonschlinkert/mixin-deep,False,jonschlinkert,JavaScript,
jonschlinkert/mixin-deep,80,16,5,2014-09-22,"Deeply mix the properties of objects into the first object, while also mixing-in child objects.",https://github.com/jonschlinkert/mixin-deep,False,jonschlinkert,JavaScript,
mixpanel/mixpanel-js,886,312,101,2014-05-15,"Official Mixpanel JavaScript Client Library",https://github.com/mixpanel/mixpanel-js,True,mixpanel,JavaScript,
zorkow/context-menu,1,1,2,2016-01-25,None,https://github.com/zorkow/context-menu,False,zorkow,TypeScript,
Subash/mkcert,136,13,5,2018-11-10,"Create self signed ssl certificates without OpenSSL.",https://github.com/Subash/mkcert,False,Subash,TypeScript,
isaacs/node-mkdirp,186,42,4,2011-11-06,"Recursively mkdir, like `mkdir -p`, but in node.js",https://github.com/isaacs/node-mkdirp,False,isaacs,TypeScript,
isaacs/node-mkdirp,186,42,4,2011-11-06,"Recursively mkdir, like `mkdir -p`, but in node.js",https://github.com/isaacs/node-mkdirp,False,isaacs,TypeScript,
mafintosh/mkdirp-classic,3,0,3,2020-03-24,"Mirror of mkdirp 0.5.2",https://github.com/mafintosh/mkdirp-classic,False,mafintosh,JavaScript,
isaacs/mkdirp-infer-owner,1,2,3,2020-01-25,"mkdirp, but chown to the owner of the containing folder if possible and necessary",https://github.com/isaacs/mkdirp-infer-owner,False,isaacs,JavaScript,
mljs/array,16,6,12,2017-05-23,"Functional utilities to transform and compute stats on arrays",https://github.com/mljs/array,True,mljs,JavaScript,
mljs/array,16,6,12,2017-05-23,"Functional utilities to transform and compute stats on arrays",https://github.com/mljs/array,True,mljs,JavaScript,
mljs/distance,67,4,15,2014-10-24,"Distance functions to compare vectors",https://github.com/mljs/distance,True,mljs,TypeScript,
mljs/distance-euclidean,5,1,11,2015-07-11,"Compute the euclidean distance between two vectors",https://github.com/mljs/distance-euclidean,True,mljs,TypeScript,
mljs/tree-similarity,8,1,15,2015-07-15,"Tree similarity in Javascript",https://github.com/mljs/tree-similarity,True,mljs,TypeScript,
unjs/mlly,467,36,7,2021-07-16,"🤝 Common ECMAScript module utils ",https://github.com/unjs/mlly,True,unjs,TypeScript,
Yomguithereal/mnemonist,2274,92,22,2016-10-22,"Curated collection of data structures for the JavaScript/TypeScript language.",https://github.com/Yomguithereal/mnemonist,False,Yomguithereal,JavaScript,
mochajs/mocha,22601,3008,396,2011-03-07,"☕️ simple, flexible, fun javascript test framework for node.js & the browser",https://github.com/mochajs/mocha,True,mochajs,JavaScript,
exuanbo/module-from-string,49,2,1,2020-11-10,"Load module from string using require or import.",https://github.com/exuanbo/module-from-string,False,exuanbo,TypeScript,
moment/moment,47979,7047,869,2011-03-01,"Parse, validate, manipulate, and display dates in javascript.",https://github.com/moment/moment,True,moment,JavaScript,
moment/moment-timezone,3829,838,102,2012-05-09,"Timezone support for moment.js",https://github.com/moment/moment-timezone,True,moment,JavaScript,
microsoft/monaco-editor,40427,3596,525,2016-06-07,"A browser based code editor",https://github.com/microsoft/monaco-editor,True,microsoft,JavaScript,
mongodb/node-mongodb-native,10044,1786,265,2010-01-07,"The official MongoDB Node.js driver",https://github.com/mongodb/node-mongodb-native,True,mongodb,TypeScript,
mongodb-js/mongodb-connection-string-url,10,12,11,2021-06-15,"MongoDB connection strings, based on the WhatWG URL API",https://github.com/mongodb-js/mongodb-connection-string-url,True,mongodb-js,TypeScript,
Automattic/mongoose,26956,3841,483,2010-04-06,"MongoDB object modeling designed to work in an asynchronous environment.",https://github.com/Automattic/mongoose,True,Automattic,JavaScript,
no-context/moo,830,66,12,2017-03-10,"Optimised tokenizer/lexer generator! 🐄 Uses /y for performance. Moo.",https://github.com/no-context/moo,True,no-context,JavaScript,
expressjs/morgan,7952,536,95,2014-02-08,"HTTP request logger middleware for node.js",https://github.com/expressjs/morgan,True,expressjs,JavaScript,
mikolalysenko/mouse-change,15,1,3,2015-02-16,"Mouse state change listener",https://github.com/mikolalysenko/mouse-change,False,mikolalysenko,JavaScript,
mikolalysenko/mouse-event,28,2,4,2015-02-16,"Cross browser mouse event property access",https://github.com/mikolalysenko/mouse-event,False,mikolalysenko,JavaScript,
mattdesl/mouse-event-offset,28,2,3,2014-08-31,"get relative position in an element on mouse clicks",https://github.com/mattdesl/mouse-event-offset,False,mattdesl,JavaScript,
mikolalysenko/mouse-wheel,51,11,3,2015-02-17,"Speed controlled mouse scrolling",https://github.com/mikolalysenko/mouse-wheel,False,mikolalysenko,JavaScript,
npm/move-concurrently,19,9,12,2017-02-17,"Promises of moves of files or directories with rename, falling back to recursive rename/copy on EXDEV errors, with configurable concurrency and win32 junction support.",https://github.com/npm/move-concurrently,True,npm,JavaScript,
Mozilla-Actions/sccache-action,119,22,2,2023-01-09,"sccache github action",https://github.com/Mozilla-Actions/sccache-action,True,Mozilla-Actions,TypeScript,
mongoosejs/mpath,46,19,4,2012-11-03,"Get/set javascript object values using MongoDB-like path notation.",https://github.com/mongoosejs/mpath,True,mongoosejs,JavaScript,
